ADC0 CH1 | V-load: 4.953V | *Voltage: 22.087mV | I-load: 44.175mA | P-load: 218.781mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.982mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.134mV | I-load: 44.268mA | P-load: 219.253mW|| CH2 || V-load: 4.597V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.814mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.103mV | I-load: 44.206mA | P-load: 218.927mW|| CH2 || V-load: 4.594V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.115mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.134mV | I-load: 44.268mA | P-load: 219.237mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.799mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.111mV | I-load: 44.222mA | P-load: 219.005mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.791mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.142mV | I-load: 44.284mA | P-load: 219.339mW|| CH2 || V-load: 4.596V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.158mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.150mV | I-load: 44.300mA | P-load: 219.400mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.982mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.134mV | I-load: 44.268mA | P-load: 219.245mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.974mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.142mV | I-load: 44.284mA | P-load: 219.331mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.802mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.150mV | I-load: 44.300mA | P-load: 219.392mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.951mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.126mV | I-load: 44.253mA | P-load: 219.168mW|| CH2 || V-load: 4.597V | *Voltage: 4.055mV | I-load: 20.275mA | P-load: 93.205mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.165mV | I-load: 44.331mA | P-load: 219.546mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.974mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.173mV | I-load: 44.347mA | P-load: 219.632mW|| CH2 || V-load: 4.597V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.181mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.165mV | I-load: 44.331mA | P-load: 219.538mW|| CH2 || V-load: 4.595V | *Voltage: 4.039mV | I-load: 20.197mA | P-load: 92.805mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.165mV | I-load: 44.331mA | P-load: 219.538mW|| CH2 || V-load: 4.597V | *Voltage: 4.086mV | I-load: 20.431mA | P-load: 93.920mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 21.822mV | I-load: 43.643mA | P-load: 216.141mW|| CH2 || V-load: 4.596V | *Voltage: 4.117mV | I-load: 20.587mA | P-load: 94.619mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.134mV | I-load: 44.268mA | P-load: 219.237mW|| CH2 || V-load: 4.597V | *Voltage: 4.117mV | I-load: 20.587mA | P-load: 94.631mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.158mV | I-load: 44.315mA | P-load: 219.477mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.795mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.228mV | I-load: 44.456mA | P-load: 220.174mW|| CH2 || V-load: 4.595V | *Voltage: 4.102mV | I-load: 20.509mA | P-load: 94.245mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.165mV | I-load: 44.331mA | P-load: 219.546mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.799mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.205mV | I-load: 44.409mA | P-load: 219.942mW|| CH2 || V-load: 4.595V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.134mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.087mV | I-load: 44.175mA | P-load: 218.772mW|| CH2 || V-load: 4.596V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.341mW
ADC0 CH1 | V-load: 4.915V | *Voltage: 22.025mV | I-load: 44.050mA | P-load: 216.510mW|| CH2 || V-load: 4.595V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.771mW
ADC0 CH1 | V-load: 4.913V | *Voltage: 22.048mV | I-load: 44.097mA | P-load: 216.649mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.978mW
ADC0 CH1 | V-load: 4.702V | *Voltage: 21.337mV | I-load: 42.675mA | P-load: 200.645mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.795mW
ADC0 CH1 | V-load: 4.409V | *Voltage: 19.876mV | I-load: 39.753mA | P-load: 175.249mW|| CH2 || V-load: 4.595V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.134mW
ADC0 CH1 | V-load: 4.085V | *Voltage: 18.361mV | I-load: 36.721mA | P-load: 150.022mW|| CH2 || V-load: 4.597V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.994mW
ADC0 CH1 | V-load: 3.745V | *Voltage: 16.868mV | I-load: 33.737mA | P-load: 126.329mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.970mW
ADC0 CH1 | V-load: 3.415V | *Voltage: 15.399mV | I-load: 30.799mA | P-load: 105.193mW|| CH2 || V-load: 4.597V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 95.009mW
ADC0 CH1 | V-load: 3.069V | *Voltage: 13.782mV | I-load: 27.564mA | P-load: 84.600mW|| CH2 || V-load: 4.597V | *Voltage: 4.086mV | I-load: 20.431mA | P-load: 93.920mW
ADC0 CH1 | V-load: 2.737V | *Voltage: 12.345mV | I-load: 24.689mA | P-load: 67.568mW|| CH2 || V-load: 4.596V | *Voltage: 3.852mV | I-load: 19.259mA | P-load: 88.511mW
ADC0 CH1 | V-load: 2.408V | *Voltage: 10.891mV | I-load: 21.783mA | P-load: 52.462mW|| CH2 || V-load: 4.597V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.353mW
ADC0 CH1 | V-load: 2.144V | *Voltage: 9.860mV | I-load: 19.720mA | P-load: 42.277mW|| CH2 || V-load: 4.595V | *Voltage: 4.047mV | I-load: 20.236mA | P-load: 92.992mW
ADC0 CH1 | V-load: 1.872V | *Voltage: 8.454mV | I-load: 16.907mA | P-load: 31.657mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.791mW
ADC0 CH1 | V-load: 1.536V | *Voltage: 6.907mV | I-load: 13.813mA | P-load: 21.212mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.978mW
ADC0 CH1 | V-load: 1.197V | *Voltage: 5.438mV | I-load: 10.876mA | P-load: 13.022mW|| CH2 || V-load: 4.596V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.165mW
ADC0 CH1 | V-load: 0.871V | *Voltage: 4.047mV | I-load: 8.094mA | P-load: 7.050mW|| CH2 || V-load: 4.595V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.138mW
ADC0 CH1 | V-load: 0.581V | *Voltage: 2.813mV | I-load: 5.625mA | P-load: 3.270mW|| CH2 || V-load: 4.572V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.307mW
ADC0 CH1 | V-load: -0.038V | *Voltage: -0.164mV | I-load: -0.328mA | P-load: 0.012mW|| CH2 || V-load: 4.598V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.200mW
ADC0 CH1 | V-load: -0.038V | *Voltage: -0.148mV | I-load: -0.297mA | P-load: 0.011mW|| CH2 || V-load: 4.595V | *Voltage: 4.157mV | I-load: 20.783mA | P-load: 95.497mW
ADC0 CH1 | V-load: -0.039V | *Voltage: -0.180mV | I-load: -0.359mA | P-load: 0.014mW|| CH2 || V-load: 4.595V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.322mW
ADC0 CH1 | V-load: -0.039V | *Voltage: -0.141mV | I-load: -0.281mA | P-load: 0.011mW|| CH2 || V-load: 4.596V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.341mW
ADC0 CH1 | V-load: -0.039V | *Voltage: -0.172mV | I-load: -0.344mA | P-load: 0.013mW|| CH2 || V-load: 4.596V | *Voltage: 4.157mV | I-load: 20.783mA | P-load: 95.517mW
ADC0 CH1 | V-load: -0.039V | *Voltage: -0.148mV | I-load: -0.297mA | P-load: 0.012mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.959mW
ADC0 CH1 | V-load: -0.039V | *Voltage: -0.141mV | I-load: -0.281mA | P-load: 0.011mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.966mW
ADC0 CH1 | V-load: -0.039V | *Voltage: -0.156mV | I-load: -0.313mA | P-load: 0.012mW|| CH2 || V-load: 4.595V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.783mW
ADC0 CH1 | V-load: -0.040V | *Voltage: -0.172mV | I-load: -0.344mA | P-load: 0.014mW|| CH2 || V-load: 4.596V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.341mW
ADC0 CH1 | V-load: -0.000V | *Voltage: 0.023mV | I-load: 0.047mA | P-load: -0.000mW|| CH2 || V-load: 4.595V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.142mW
ADC0 CH1 | V-load: -0.042V | *Voltage: -0.188mV | I-load: -0.375mA | P-load: 0.016mW|| CH2 || V-load: 4.597V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 95.001mW
ADC0 CH1 | V-load: -0.039V | *Voltage: -0.172mV | I-load: -0.344mA | P-load: 0.013mW|| CH2 || V-load: 4.596V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.333mW
ADC0 CH1 | V-load: -0.039V | *Voltage: -0.156mV | I-load: -0.313mA | P-load: 0.012mW|| CH2 || V-load: 4.596V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.158mW
ADC0 CH1 | V-load: 0.291V | *Voltage: 1.250mV | I-load: 2.500mA | P-load: 0.728mW|| CH2 || V-load: 4.596V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.158mW
ADC0 CH1 | V-load: 0.415V | *Voltage: 1.883mV | I-load: 3.766mA | P-load: 1.563mW|| CH2 || V-load: 4.597V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.173mW
ADC0 CH1 | V-load: 0.516V | *Voltage: 2.297mV | I-load: 4.594mA | P-load: 2.372mW|| CH2 || V-load: 4.596V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.158mW
ADC0 CH1 | V-load: 0.536V | *Voltage: 2.391mV | I-load: 4.782mA | P-load: 2.561mW|| CH2 || V-load: 4.595V | *Voltage: 4.086mV | I-load: 20.431mA | P-load: 93.886mW
ADC0 CH1 | V-load: 0.537V | *Voltage: 2.406mV | I-load: 4.813mA | P-load: 2.584mW|| CH2 || V-load: 4.596V | *Voltage: 4.047mV | I-load: 20.236mA | P-load: 92.996mW
ADC0 CH1 | V-load: 0.636V | *Voltage: 2.875mV | I-load: 5.750mA | P-load: 3.655mW|| CH2 || V-load: 4.596V | *Voltage: 4.055mV | I-load: 20.275mA | P-load: 93.179mW
ADC0 CH1 | V-load: 0.697V | *Voltage: 3.078mV | I-load: 6.157mA | P-load: 4.290mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.974mW
ADC0 CH1 | V-load: 0.754V | *Voltage: 3.391mV | I-load: 6.782mA | P-load: 5.110mW|| CH2 || V-load: 4.596V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.329mW
ADC0 CH1 | V-load: 0.818V | *Voltage: 3.656mV | I-load: 7.313mA | P-load: 5.982mW|| CH2 || V-load: 4.596V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.158mW
ADC0 CH1 | V-load: 0.864V | *Voltage: 3.891mV | I-load: 7.782mA | P-load: 6.725mW|| CH2 || V-load: 4.596V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.329mW
ADC0 CH1 | V-load: 0.959V | *Voltage: 4.258mV | I-load: 8.516mA | P-load: 8.163mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.970mW
ADC0 CH1 | V-load: 1.046V | *Voltage: 4.657mV | I-load: 9.313mA | P-load: 9.737mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.959mW
ADC0 CH1 | V-load: 1.095V | *Voltage: 4.891mV | I-load: 9.782mA | P-load: 10.711mW|| CH2 || V-load: 4.597V | *Voltage: 3.867mV | I-load: 19.337mA | P-load: 88.892mW
ADC0 CH1 | V-load: 1.203V | *Voltage: 5.391mV | I-load: 10.782mA | P-load: 12.971mW|| CH2 || V-load: 4.596V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.345mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.469mV | I-load: 10.938mA | P-load: 13.288mW|| CH2 || V-load: 4.596V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.341mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.446mV | I-load: 10.891mA | P-load: 13.229mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.799mW
ADC0 CH1 | V-load: 1.214V | *Voltage: 5.414mV | I-load: 10.829mA | P-load: 13.145mW|| CH2 || V-load: 4.597V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.189mW
ADC0 CH1 | V-load: 1.216V | *Voltage: 5.438mV | I-load: 10.876mA | P-load: 13.222mW|| CH2 || V-load: 4.597V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.994mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.438mV | I-load: 10.876mA | P-load: 13.216mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.959mW
ADC0 CH1 | V-load: 1.214V | *Voltage: 5.438mV | I-load: 10.876mA | P-load: 13.202mW|| CH2 || V-load: 4.597V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.169mW
