ADC0 CH1 | V-load: 4.092V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -381.483mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.489mW | Time: 37100ms
ADC0 CH1 | V-load: 4.092V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -380.452mW|| CH2 || V-load: 0.547V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.505mW | Time: 37975ms
ADC0 CH1 | V-load: 4.091V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -380.330mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.516mW | Time: 38850ms
ADC0 CH1 | V-load: 4.089V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -381.273mW|| CH2 || V-load: 0.547V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.524mW | Time: 39786ms
ADC0 CH1 | V-load: 4.089V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -380.156mW|| CH2 || V-load: 0.547V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.505mW | Time: 40661ms
ADC0 CH1 | V-load: 4.088V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -381.151mW|| CH2 || V-load: 0.547V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.504mW | Time: 41537ms
ADC0 CH1 | V-load: 4.086V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -380.994mW|| CH2 || V-load: 0.546V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.477mW | Time: 42473ms
ADC0 CH1 | V-load: 4.086V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -380.959mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.510mW | Time: 43348ms
ADC0 CH1 | V-load: 4.085V | *Voltage: -2.805mV | I-load: -93.496mA | P-load: -381.935mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.523mW | Time: 44285ms
ADC0 CH1 | V-load: 4.084V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -380.819mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.499mW | Time: 45159ms
ADC0 CH1 | V-load: 4.085V | *Voltage: -2.781mV | I-load: -92.714mA | P-load: -378.709mW|| CH2 || V-load: 0.547V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.484mW | Time: 46033ms
ADC0 CH1 | V-load: 4.083V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -379.598mW|| CH2 || V-load: 0.548V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.529mW | Time: 46969ms
ADC0 CH1 | V-load: 4.082V | *Voltage: -2.805mV | I-load: -93.496mA | P-load: -381.672mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.516mW | Time: 47843ms
ADC0 CH1 | V-load: 4.082V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -379.546mW|| CH2 || V-load: 0.546V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.476mW | Time: 48718ms
ADC0 CH1 | V-load: 4.082V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -380.574mW|| CH2 || V-load: 0.549V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.536mW | Time: 49654ms
ADC0 CH1 | V-load: 4.081V | *Voltage: -2.805mV | I-load: -93.496mA | P-load: -381.532mW|| CH2 || V-load: 0.547V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.524mW | Time: 50530ms
ADC0 CH1 | V-load: 4.080V | *Voltage: -2.781mV | I-load: -92.714mA | P-load: -378.274mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.486mW | Time: 51404ms
ADC0 CH1 | V-load: 4.080V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -379.319mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.509mW | Time: 52340ms
ADC0 CH1 | V-load: 4.079V | *Voltage: -2.805mV | I-load: -93.496mA | P-load: -381.357mW|| CH2 || V-load: 0.547V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.484mW | Time: 53216ms
ADC0 CH1 | V-load: 4.078V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -380.207mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.518mW | Time: 54092ms
ADC0 CH1 | V-load: 4.076V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -380.067mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.508mW | Time: 55029ms
ADC0 CH1 | V-load: 4.076V | *Voltage: -2.781mV | I-load: -92.714mA | P-load: -377.944mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.498mW | Time: 55902ms
ADC0 CH1 | V-load: 4.076V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -380.032mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.500mW | Time: 56838ms
ADC0 CH1 | V-load: 4.076V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -380.015mW|| CH2 || V-load: 0.549V | *Voltage: 1.266mV | I-load: 6.329mA | P-load: 3.472mW | Time: 57713ms
ADC0 CH1 | V-load: 4.075V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -379.910mW|| CH2 || V-load: 0.545V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.473mW | Time: 58588ms
ADC0 CH1 | V-load: 4.075V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -379.910mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.520mW | Time: 59525ms
ADC0 CH1 | V-load: 4.074V | *Voltage: -2.805mV | I-load: -93.496mA | P-load: -380.901mW|| CH2 || V-load: 0.545V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.473mW | Time: 60402ms
ADC0 CH1 | V-load: 4.073V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -378.692mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.522mW | Time: 61277ms
ADC0 CH1 | V-load: 4.073V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -379.770mW|| CH2 || V-load: 0.550V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.505mW | Time: 62213ms
ADC0 CH1 | V-load: 4.073V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -378.692mW|| CH2 || V-load: 0.545V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.490mW | Time: 63089ms
ADC0 CH1 | V-load: 4.072V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -379.630mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.514mW | Time: 63964ms
ADC0 CH1 | V-load: 4.071V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -379.578mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.508mW | Time: 64899ms
ADC0 CH1 | V-load: 4.071V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -378.535mW|| CH2 || V-load: 0.549V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.498mW | Time: 65777ms
ADC0 CH1 | V-load: 4.071V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -378.483mW|| CH2 || V-load: 0.549V | *Voltage: 1.266mV | I-load: 6.329mA | P-load: 3.472mW | Time: 66714ms
ADC0 CH1 | V-load: 4.070V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -378.448mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.499mW | Time: 67589ms
ADC0 CH1 | V-load: 4.068V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -379.298mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.521mW | Time: 68465ms
ADC0 CH1 | V-load: 4.069V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -378.326mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.498mW | Time: 69402ms
ADC0 CH1 | V-load: 4.068V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -379.281mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.522mW | Time: 70276ms
ADC0 CH1 | V-load: 4.068V | *Voltage: -2.781mV | I-load: -92.714mA | P-load: -377.179mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.500mW | Time: 71150ms
ADC0 CH1 | V-load: 4.067V | *Voltage: -2.781mV | I-load: -92.714mA | P-load: -377.023mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.499mW | Time: 72086ms
ADC0 CH1 | V-load: 4.067V | *Voltage: -2.805mV | I-load: -93.496mA | P-load: -380.270mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.512mW | Time: 72961ms
ADC0 CH1 | V-load: 4.066V | *Voltage: -2.781mV | I-load: -92.714mA | P-load: -377.005mW|| CH2 || V-load: 0.545V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.493mW | Time: 73836ms
ADC0 CH1 | V-load: 4.066V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -377.994mW|| CH2 || V-load: 0.549V | *Voltage: 1.266mV | I-load: 6.329mA | P-load: 3.477mW | Time: 74773ms
ADC0 CH1 | V-load: 4.066V | *Voltage: -2.781mV | I-load: -92.714mA | P-load: -376.953mW|| CH2 || V-load: 0.547V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.503mW | Time: 75648ms
ADC0 CH1 | V-load: 4.064V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -377.820mW|| CH2 || V-load: 0.545V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.468mW | Time: 76585ms
ADC0 CH1 | V-load: 4.064V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.896mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.511mW | Time: 77461ms
ADC0 CH1 | V-load: 4.064V | *Voltage: -2.805mV | I-load: -93.496mA | P-load: -379.937mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.486mW | Time: 78340ms
ADC0 CH1 | V-load: 4.064V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -377.838mW|| CH2 || V-load: 0.549V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.497mW | Time: 79275ms
ADC0 CH1 | V-load: 4.061V | *Voltage: -2.781mV | I-load: -92.714mA | P-load: -376.518mW|| CH2 || V-load: 0.545V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.493mW | Time: 80150ms
ADC0 CH1 | V-load: 4.062V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -377.646mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.492mW | Time: 81025ms
ADC0 CH1 | V-load: 4.062V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -377.698mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.496mW | Time: 81962ms
ADC0 CH1 | V-load: 4.062V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.739mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.511mW | Time: 82837ms
ADC0 CH1 | V-load: 4.061V | *Voltage: -2.774mV | I-load: -92.454mA | P-load: -375.426mW|| CH2 || V-load: 0.545V | *Voltage: 1.266mV | I-load: 6.329mA | P-load: 3.451mW | Time: 83712ms
ADC0 CH1 | V-load: 4.060V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.546mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.500mW | Time: 84648ms
ADC0 CH1 | V-load: 4.060V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.564mW|| CH2 || V-load: 0.549V | *Voltage: 1.266mV | I-load: 6.329mA | P-load: 3.477mW | Time: 85521ms
ADC0 CH1 | V-load: 4.062V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -377.663mW|| CH2 || V-load: 0.547V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.481mW | Time: 86397ms
ADC0 CH1 | V-load: 4.060V | *Voltage: -2.805mV | I-load: -93.496mA | P-load: -379.586mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.517mW | Time: 87335ms
ADC0 CH1 | V-load: 4.059V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.459mW|| CH2 || V-load: 0.547V | *Voltage: 1.266mV | I-load: 6.329mA | P-load: 3.461mW | Time: 88211ms
ADC0 CH1 | V-load: 4.060V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.511mW|| CH2 || V-load: 0.546V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.478mW | Time: 89146ms
ADC0 CH1 | V-load: 4.058V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -377.315mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.487mW | Time: 90022ms
ADC0 CH1 | V-load: 4.059V | *Voltage: -2.774mV | I-load: -92.454mA | P-load: -375.253mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.490mW | Time: 90897ms
ADC0 CH1 | V-load: 4.058V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.319mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.521mW | Time: 91833ms
ADC0 CH1 | V-load: 4.057V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -377.245mW|| CH2 || V-load: 0.545V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.473mW | Time: 92708ms
ADC0 CH1 | V-load: 4.057V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.214mW|| CH2 || V-load: 0.550V | *Voltage: 1.266mV | I-load: 6.329mA | P-load: 3.479mW | Time: 93582ms
ADC0 CH1 | V-load: 4.057V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.267mW|| CH2 || V-load: 0.547V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.528mW | Time: 94518ms
ADC0 CH1 | V-load: 4.057V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.284mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.496mW | Time: 95392ms
ADC0 CH1 | V-load: 4.057V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -377.175mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.526mW | Time: 96267ms
ADC0 CH1 | V-load: 4.056V | *Voltage: -2.813mV | I-load: -93.756mA | P-load: -380.257mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.510mW | Time: 97204ms
ADC0 CH1 | V-load: 4.055V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.039mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.492mW | Time: 98079ms
ADC0 CH1 | V-load: 4.055V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -378.022mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.517mW | Time: 99016ms
ADC0 CH1 | V-load: 4.053V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -377.865mW|| CH2 || V-load: 0.548V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.533mW | Time: 99892ms
ADC0 CH1 | V-load: 4.053V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -376.809mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.516mW | Time: 100766ms
ADC0 CH1 | V-load: 4.053V | *Voltage: -2.781mV | I-load: -92.714mA | P-load: -375.806mW|| CH2 || V-load: 0.547V | *Voltage: 1.266mV | I-load: 6.329mA | P-load: 3.460mW | Time: 101703ms
ADC0 CH1 | V-load: 4.053V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -376.826mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.517mW | Time: 102580ms
ADC0 CH1 | V-load: 4.054V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -376.896mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.499mW | Time: 103455ms
ADC0 CH1 | V-load: 4.052V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -376.757mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.509mW | Time: 104392ms
ADC0 CH1 | V-load: 4.052V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -377.812mW|| CH2 || V-load: 0.545V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.472mW | Time: 105267ms
ADC0 CH1 | V-load: 4.051V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -377.725mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.527mW | Time: 106143ms
ADC0 CH1 | V-load: 4.051V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -376.600mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.491mW | Time: 107081ms
ADC0 CH1 | V-load: 4.051V | *Voltage: -2.781mV | I-load: -92.714mA | P-load: -375.545mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.492mW | Time: 107958ms
ADC0 CH1 | V-load: 4.050V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -377.585mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.511mW | Time: 108895ms
ADC0 CH1 | V-load: 4.051V | *Voltage: -2.781mV | I-load: -92.714mA | P-load: -375.597mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.520mW | Time: 109772ms
ADC0 CH1 | V-load: 4.050V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -376.548mW|| CH2 || V-load: 0.546V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.477mW | Time: 110648ms
ADC0 CH1 | V-load: 4.050V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -376.530mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.500mW | Time: 111586ms
ADC0 CH1 | V-load: 4.051V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -377.672mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.518mW | Time: 112460ms
