ADC0 CH1 | V-load: 3.529V | *Voltage: 2.953mV | I-load: 98.444mA | P-load: 347.384mW|| CH2 || V-load: 0.549V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.779mW | Time: 27852ms
ADC0 CH1 | V-load: 3.530V | *Voltage: 2.953mV | I-load: 98.444mA | P-load: 347.476mW|| CH2 || V-load: 0.548V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.754mW | Time: 28745ms
ADC0 CH1 | V-load: 3.532V | *Voltage: 2.938mV | I-load: 97.923mA | P-load: 345.821mW|| CH2 || V-load: 0.548V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.778mW | Time: 29572ms
ADC0 CH1 | V-load: 3.533V | *Voltage: 2.946mV | I-load: 98.183mA | P-load: 346.906mW|| CH2 || V-load: 0.548V | *Voltage: 0.656mV | I-load: 3.281mA | P-load: 1.798mW | Time: 30463ms
ADC0 CH1 | V-load: 3.535V | *Voltage: 2.953mV | I-load: 98.444mA | P-load: 348.011mW|| CH2 || V-load: 0.547V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.773mW | Time: 31291ms
ADC0 CH1 | V-load: 3.537V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 345.396mW|| CH2 || V-load: 0.550V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.785mW | Time: 32118ms
ADC0 CH1 | V-load: 3.539V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 345.579mW|| CH2 || V-load: 0.548V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.777mW | Time: 33008ms
ADC0 CH1 | V-load: 3.540V | *Voltage: 2.938mV | I-load: 97.923mA | P-load: 346.684mW|| CH2 || V-load: 0.552V | *Voltage: 0.656mV | I-load: 3.281mA | P-load: 1.812mW | Time: 33835ms
ADC0 CH1 | V-load: 3.542V | *Voltage: 2.938mV | I-load: 97.923mA | P-load: 346.812mW|| CH2 || V-load: 0.550V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.783mW | Time: 34663ms
ADC0 CH1 | V-load: 3.544V | *Voltage: 2.938mV | I-load: 97.923mA | P-load: 347.014mW|| CH2 || V-load: 0.549V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.758mW | Time: 35555ms
ADC0 CH1 | V-load: 3.544V | *Voltage: 2.938mV | I-load: 97.923mA | P-load: 347.069mW|| CH2 || V-load: 0.549V | *Voltage: 0.625mV | I-load: 3.125mA | P-load: 1.715mW | Time: 36383ms
ADC0 CH1 | V-load: 3.547V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 346.366mW|| CH2 || V-load: 0.548V | *Voltage: 0.656mV | I-load: 3.281mA | P-load: 1.797mW | Time: 37211ms
ADC0 CH1 | V-load: 3.548V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 346.549mW|| CH2 || V-load: 0.550V | *Voltage: 0.664mV | I-load: 3.321mA | P-load: 1.828mW | Time: 38102ms
ADC0 CH1 | V-load: 3.550V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 346.714mW|| CH2 || V-load: 0.547V | *Voltage: 0.656mV | I-load: 3.281mA | P-load: 1.794mW | Time: 38928ms
ADC0 CH1 | V-load: 3.552V | *Voltage: 2.946mV | I-load: 98.183mA | P-load: 348.711mW|| CH2 || V-load: 0.549V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.759mW | Time: 39758ms
ADC0 CH1 | V-load: 3.554V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 347.062mW|| CH2 || V-load: 0.548V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.778mW | Time: 40648ms
ADC0 CH1 | V-load: 3.554V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 347.117mW|| CH2 || V-load: 0.547V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.774mW | Time: 41476ms
ADC0 CH1 | V-load: 3.556V | *Voltage: 2.938mV | I-load: 97.923mA | P-load: 348.208mW|| CH2 || V-load: 0.550V | *Voltage: 0.656mV | I-load: 3.281mA | P-load: 1.804mW | Time: 42304ms
ADC0 CH1 | V-load: 3.557V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 347.428mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.521mW | Time: 43196ms
ADC0 CH1 | V-load: 3.559V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 347.593mW|| CH2 || V-load: 0.550V | *Voltage: 0.633mV | I-load: 3.164mA | P-load: 1.740mW | Time: 44025ms
ADC0 CH1 | V-load: 3.561V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 346.812mW|| CH2 || V-load: 0.549V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.496mW | Time: 44916ms
ADC0 CH1 | V-load: 3.563V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 346.995mW|| CH2 || V-load: 0.549V | *Voltage: 0.656mV | I-load: 3.281mA | P-load: 1.800mW | Time: 45745ms
ADC0 CH1 | V-load: 3.564V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 348.033mW|| CH2 || V-load: 0.548V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.757mW | Time: 46574ms
ADC0 CH1 | V-load: 3.565V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 348.197mW|| CH2 || V-load: 0.549V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.779mW | Time: 47462ms
ADC0 CH1 | V-load: 3.567V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 347.433mW|| CH2 || V-load: 0.549V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.757mW | Time: 48291ms
ADC0 CH1 | V-load: 3.568V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 348.454mW|| CH2 || V-load: 0.549V | *Voltage: 0.656mV | I-load: 3.281mA | P-load: 1.803mW | Time: 49119ms
ADC0 CH1 | V-load: 3.569V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 347.634mW|| CH2 || V-load: 0.548V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.778mW | Time: 50010ms
ADC0 CH1 | V-load: 3.570V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 346.832mW|| CH2 || V-load: 0.549V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.759mW | Time: 50836ms
ADC0 CH1 | V-load: 3.572V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 347.908mW|| CH2 || V-load: 0.549V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.781mW | Time: 51666ms
ADC0 CH1 | V-load: 3.574V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 349.003mW|| CH2 || V-load: 0.550V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.782mW | Time: 52558ms
ADC0 CH1 | V-load: 3.575V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 349.168mW|| CH2 || V-load: 0.546V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.519mW | Time: 53386ms
ADC0 CH1 | V-load: 3.577V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 349.296mW|| CH2 || V-load: 0.548V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.778mW | Time: 54215ms
ADC0 CH1 | V-load: 3.578V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 348.529mW|| CH2 || V-load: 0.548V | *Voltage: 0.664mV | I-load: 3.321mA | P-load: 1.820mW | Time: 55111ms
ADC0 CH1 | V-load: 3.581V | *Voltage: 2.930mV | I-load: 97.663mA | P-load: 349.699mW|| CH2 || V-load: 0.549V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.780mW | Time: 55936ms
ADC0 CH1 | V-load: 3.581V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 348.785mW|| CH2 || V-load: 0.547V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.775mW | Time: 56828ms
ADC0 CH1 | V-load: 3.582V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 348.858mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.523mW | Time: 57657ms
ADC0 CH1 | V-load: 3.583V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 348.986mW|| CH2 || V-load: 0.551V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.787mW | Time: 58485ms
ADC0 CH1 | V-load: 3.584V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 348.198mW|| CH2 || V-load: 0.550V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.783mW | Time: 59374ms
ADC0 CH1 | V-load: 3.586V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 348.344mW|| CH2 || V-load: 0.550V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.785mW | Time: 60201ms
ADC0 CH1 | V-load: 3.587V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 347.519mW|| CH2 || V-load: 0.548V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.775mW | Time: 61029ms
ADC0 CH1 | V-load: 3.589V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 349.533mW|| CH2 || V-load: 0.549V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.757mW | Time: 61922ms
ADC0 CH1 | V-load: 3.590V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 349.643mW|| CH2 || V-load: 0.550V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.783mW | Time: 62754ms
ADC0 CH1 | V-load: 3.591V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 348.854mW|| CH2 || V-load: 0.551V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.528mW | Time: 63583ms
ADC0 CH1 | V-load: 3.593V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 348.082mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.517mW | Time: 64473ms
ADC0 CH1 | V-load: 3.594V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 348.209mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.527mW | Time: 65301ms
ADC0 CH1 | V-load: 3.595V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 349.255mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.509mW | Time: 66128ms
ADC0 CH1 | V-load: 3.596V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 349.346mW|| CH2 || V-load: 0.548V | *Voltage: 0.633mV | I-load: 3.164mA | P-load: 1.734mW | Time: 66988ms
ADC0 CH1 | V-load: 3.598V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 350.428mW|| CH2 || V-load: 0.550V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.547mW | Time: 67850ms
ADC0 CH1 | V-load: 3.599V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 349.601mW|| CH2 || V-load: 0.550V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.548mW | Time: 68766ms
ADC0 CH1 | V-load: 3.600V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 349.673mW|| CH2 || V-load: 0.548V | *Voltage: 1.266mV | I-load: 6.329mA | P-load: 3.467mW | Time: 69593ms
ADC0 CH1 | V-load: 3.601V | *Voltage: 2.922mV | I-load: 97.402mA | P-load: 350.739mW|| CH2 || V-load: 0.550V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.782mW | Time: 70420ms
ADC0 CH1 | V-load: 3.603V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 350.001mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.516mW | Time: 71311ms
ADC0 CH1 | V-load: 3.604V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 349.190mW|| CH2 || V-load: 0.550V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.783mW | Time: 72140ms
ADC0 CH1 | V-load: 3.605V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 350.183mW|| CH2 || V-load: 0.553V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.793mW | Time: 72968ms
ADC0 CH1 | V-load: 3.606V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 350.275mW|| CH2 || V-load: 0.547V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.484mW | Time: 73858ms
ADC0 CH1 | V-load: 3.607V | *Voltage: 2.899mV | I-load: 96.621mA | P-load: 348.505mW|| CH2 || V-load: 0.552V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.515mW | Time: 74683ms
ADC0 CH1 | V-load: 3.608V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 350.475mW|| CH2 || V-load: 0.547V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.503mW | Time: 75509ms
ADC0 CH1 | V-load: 3.610V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 349.735mW|| CH2 || V-load: 0.549V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.493mW | Time: 76397ms
ADC0 CH1 | V-load: 3.611V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 349.826mW|| CH2 || V-load: 0.547V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.480mW | Time: 77225ms
ADC0 CH1 | V-load: 3.613V | *Voltage: 2.899mV | I-load: 96.621mA | P-load: 349.049mW|| CH2 || V-load: 0.548V | *Voltage: 0.656mV | I-load: 3.281mA | P-load: 1.797mW | Time: 78052ms
ADC0 CH1 | V-load: 3.614V | *Voltage: 2.899mV | I-load: 96.621mA | P-load: 349.157mW|| CH2 || V-load: 0.548V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.776mW | Time: 78941ms
ADC0 CH1 | V-load: 3.615V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 350.207mW|| CH2 || V-load: 0.549V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.537mW | Time: 79768ms
ADC0 CH1 | V-load: 3.616V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 350.371mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.524mW | Time: 80595ms
ADC0 CH1 | V-load: 3.618V | *Voltage: 2.914mV | I-load: 97.142mA | P-load: 351.422mW|| CH2 || V-load: 0.548V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.777mW | Time: 81485ms
ADC0 CH1 | V-load: 3.618V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 350.534mW|| CH2 || V-load: 0.551V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.530mW | Time: 82313ms
ADC0 CH1 | V-load: 3.619V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 350.625mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.508mW | Time: 83203ms
ADC0 CH1 | V-load: 3.620V | *Voltage: 2.899mV | I-load: 96.621mA | P-load: 349.737mW|| CH2 || V-load: 0.551V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.509mW | Time: 84028ms
ADC0 CH1 | V-load: 3.622V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 350.934mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.514mW | Time: 84854ms
ADC0 CH1 | V-load: 3.623V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 350.988mW|| CH2 || V-load: 0.552V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.535mW | Time: 85746ms
ADC0 CH1 | V-load: 3.624V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 351.134mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.515mW | Time: 86572ms
ADC0 CH1 | V-load: 3.625V | *Voltage: 2.899mV | I-load: 96.621mA | P-load: 350.244mW|| CH2 || V-load: 0.548V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.756mW | Time: 87399ms
ADC0 CH1 | V-load: 3.626V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 351.297mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.521mW | Time: 88289ms
ADC0 CH1 | V-load: 3.628V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 351.443mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.490mW | Time: 89116ms
